paper_id,authors,title,venue,year,DOI/URL,abstract,relevance_score,key_contributions,algorithmic_approach,evaluation_metrics,dataset_used,relevance_to_thesis,category
basu2011,"S. Basu Roy, G. Das, S. Amer-Yahia, and C. Yu",Interactive Itinerary Planning,"Proceedings of the 27th IEEE International Conference on Data Engineering (ICDE), Hannover, Germany",2011,10.1109/ICDE.2011.5767920,"Foundational work establishing interactive itinerary planning as a three-step iterative process with user feedback. Proves NP-completeness of the problem even for simple scoring functions, justifying heuristic approaches. Develops efficient algorithms including GreedyPOISelection and HeapPrunGreedyPOI for real-time recommendations.",5,"Proves NP-completeness of interactive itinerary planning; Develops GreedyPOISelection and HeapPrunGreedyPOI algorithms; Establishes three-step interactive planning framework","Greedy heuristics with heap-based pruning, O(n²) complexity","User satisfaction, computational time, POI coverage","Synthetic POI datasets, real city data","Essential baseline for thesis - introduces core problem formulation and establishes computational complexity",Interactive_Planning
liao2019,"L. Liao, R. Takanobu, Y. Ma, X. Yang, M. Huang, and T.-S. Chua",Deep Conversational Recommender in Travel,arXiv preprint arXiv:1907.00710,2019,https://arxiv.org/abs/1907.00710,"Proposes Deep Conversational Recommender (DCR) system using sequence-to-sequence models with neural latent topics and Graph Convolutional Networks. Enables natural language dialogue for interactive travel planning across multiple sub-tasks including POI recommendation and itinerary planning.",4,"Introduces neural conversational framework for travel planning; Combines seq2seq models with GCNs for POI relationships; Enables multi-task travel planning through dialogue","Sequence-to-sequence with attention, Graph Convolutional Networks","BLEU score, task completion rate, user engagement metrics","TravelDialog dataset with 10K conversations","Demonstrates advanced interactive planning approach using modern NLP techniques",Interactive_Planning
yahi2015,"A. Yahi, A. Chassang, L. Raynaud, H. Duthil, and D. H. Chau",Aurigo: An Interactive Tour Planner for Personalized Itineraries,"Proceedings of the 20th International Conference on Intelligent User Interfaces (IUI), Atlanta, GA, USA",2015,10.1145/2678025.2701366,"Hybrid approach combining recommendation algorithms with interactive visualization for personalized itinerary creation. User studies demonstrate 70% preference over Google Maps for personalized tour planning. Implements real-time visual feedback for itinerary modifications.",4,"Combines algorithmic recommendations with interactive visualization; Achieves 70% user preference over Google Maps; Implements real-time visual feedback system","Hybrid recommendation with interactive visualization","User preference ratings, task completion time, usability scores","Paris POI dataset with user reviews","Shows importance of interactive interfaces for preference-based ranking",Interactive_Planning
xie2011,"M. Xie, L. V. S. Lakshmanan, and P. T. Wood",CompRec-Trip: A Composite Recommendation System for Travel Planning,"Proceedings of the 27th IEEE International Conference on Data Engineering (ICDE), Hannover, Germany",2011,Not provided,"Automatic generation of composite travel recommendations with rich GUI for customization. Allows flexible package configuration within cost and time budgets. Integrates multiple data sources for comprehensive travel planning including flights, hotels, and attractions.",3,"Develops composite travel package recommendations; Integrates multiple travel components (flights, hotels, POIs); Provides flexible GUI for package customization","Constraint-based optimization with user interface","Package quality score, budget adherence, user satisfaction","TripAdvisor and Expedia datasets","Relevant for multi-component itinerary ranking and budget constraints",Interactive_Planning
xie2024,J. Xie et al.,TravelPlanner: A Benchmark for Real-World Planning with Language Agents,arXiv preprint arXiv:2402.01622,2024,https://arxiv.org/abs/2402.01622,"Provides comprehensive benchmark with 1,225 meticulously curated planning queries and nearly 4 million data records. Current language agents achieve only 0.6% success rate, highlighting the complexity of real-world travel planning. Essential benchmark for evaluation.",5,"Creates largest travel planning benchmark with 1,225 queries; Reveals current AI agents achieve only 0.6% success; Provides 4M+ data records for evaluation","Language model agents with planning modules","Success rate, constraint satisfaction, plan feasibility","1,225 real-world queries across major cities including NYC","Critical benchmark for evaluating thesis algorithms on real-world data",Ranking_Algorithms
sun2020,K. Sun et al.,"Where to Go Next: Modeling Long- and Short-Term User Preferences for Point-of-Interest Recommendation","Proceedings of the AAAI Conference on Artificial Intelligence, vol. 34, no. 01",2020,Not provided,"Advanced neural architecture for POI recommendation considering both long-term preferences and short-term intentions. Directly applicable to ranking itinerary segments by modeling user behavior patterns. Achieves state-of-the-art performance on multiple datasets.",4,"Models both long-term and short-term user preferences; Develops neural architecture for sequential POI recommendation; Achieves SOTA on multiple benchmarks","LSTM with attention mechanism for preference modeling","Precision@K, Recall@K, MRR, NDCG","Foursquare NYC, Tokyo check-in data","Directly applicable to ranking itinerary segments based on user preferences",Ranking_Algorithms
gu2020,"J. Gu, C. Song, W. Jiang, X. Wang, and M. Liu",Enhancing Personalized Trip Recommendation with Attractive Routes,"Proceedings of the AAAI Conference on Artificial Intelligence, vol. 34, no. 01",2020,10.1609/aaai.v34i01.5407,"Introduces 'Attractive Routes' concept using gravity model in category space. Provides interactive optimization balancing time cost with user experience. Develops novel route attractiveness metrics beyond simple POI coverage.",4,"Introduces gravity model for route attractiveness; Balances time efficiency with user experience; Develops novel attractiveness metrics","Gravity model with interactive optimization","Route attractiveness score, time efficiency, user satisfaction","Beijing taxi trajectories with POI data","Novel approach to ranking routes based on attractiveness rather than just POI count",Ranking_Algorithms
verbeeck2014,"C. Verbeeck, K. Sörensen, E. H. Aghezzaf, and P. Vansteenwegen",A Fast Solution Method for the Time-Dependent Orienteering Problem,European Journal of Operational Research,2014,Not provided,"Presents efficient algorithms for time-dependent routing crucial for real-time itinerary ranking. Methods handle varying travel times throughout the day. Directly applicable to dynamic POI scheduling in urban environments.",4,"Solves time-dependent orienteering problem efficiently; Handles real-world varying travel times; Provides fast solution for dynamic environments","Variable neighborhood search with time-dependent costs","Solution quality, computation time, optimality gap","Synthetic and real road networks","Essential for handling time-dependent aspects in NYC itinerary ranking",Ranking_Algorithms
lim2018,"K. H. Lim, J. Chan, C. Leckie, and S. Karunasekera","Personalized Trip Recommendation for Tourists Based on User Interests, Points of Interest Visit Durations and Visit Recency",Knowledge and Information Systems,2018,10.1007/s10115-017-1056-y,"Comprehensive framework incorporating user interests, POI visit duration patterns, and temporal preferences. Essential for preference-aware ranking implementation. Validates approach on real tourist trajectory data from multiple cities.",5,"Integrates user interests with POI visit durations; Models visit recency for temporal preferences; Validates on multi-city tourist data","Collaborative filtering with temporal modeling","Precision, recall, F1-score, tour popularity","Flickr photo trajectories from 8 cities","Core reference for preference-based itinerary ranking with temporal aspects",User_Preferences
huang2019,"L. Huang, Y. Ma, S. Wang, and Y. Liu",An Attention-Based Spatiotemporal LSTM Network for Next POI Recommendation,IEEE Transactions on Services Computing,2019,Not provided,"Attention mechanisms for capturing user preferences in sequential contexts. Provides neural architecture for learning complex preference patterns. Achieves significant improvements over baseline methods in next-POI prediction.",4,"Develops attention-based LSTM for POI sequences; Captures spatio-temporal dependencies; Improves next-POI prediction accuracy","LSTM with spatio-temporal attention","Acc@K, MRR, distance error","Foursquare NYC, Tokyo datasets","Neural architecture applicable to learning itinerary preferences",User_Preferences
